Word,Dialect
[kau̯ˈtɛɾɐ],Gascon
[kau̯ˈðjɛɾo],West Languedocien
[kawˈlet],unspecified
/kawˈmadʒe/,unspecified
[ˈkawzo],unspecified
/kawˈziðo/,unspecified
[tʃaˈvɑʷ],Limousin
[tsaˈvo],Auvergnat
[ʃiˈβau̯],Gascon
[kaˈβaʎ],Gascon
[kaˈβatʃ],Gascon
[kaˈβal],West Languedocien
[kaˈβalo],unspecified
[kaˈβiʎo],unspecified
/ˈseβo/,unspecified
/seˈðiʎo̞/,unspecified
[ˈʃjaʷ],Limousin
[ˈʃjɑʷ],Auvergnat
[ˈsɛu̯],Gascon
[ˈsɛl],West Languedocien
/selˈlylo/,unspecified
[seˈɾjɛɾo],unspecified
/t͡sa.ˈɾan.to/,unspecified
/t͡sa.ˈɾan.tɔ/,unspecified
/ˈʃasko/,unspecified
/ˈtsasko/,unspecified
/t͡sasteˈlãᵑ/,unspecified
/t͡sawˈzido/,unspecified
/t͡sawˈzi/,unspecified
/t͡ʃiˈnes/,Béarn
[t͡ʃipre],unspecified
/t͡ʃyk/,unspecified
/siˈklu/,unspecified
/ˈsiŋk/,unspecified
/siwtaˈða/,unspecified
/ˈklap/,unspecified
/klaˈrjɛro/,unspecified
/klawˈzy.ɾɔ/,unspecified
-yɾɔ,unspecified
/klɥɛt͡ʃ/,unspecified
[kɔ],unspecified
/kuˈβɾi/,unspecified
-i,unspecified
/ˈkɔ.kɒ/,unspecified
[kuðˈuɲ],unspecified
[ˈkujðe],unspecified
/ˈkujɾe/,unspecified
[ˈkɔjre],unspecified
/kuʎuˈna/,unspecified
/kunˈdʒat/,unspecified
/kuˈɲak/,unspecified
[kuˈnil],unspecified
/kɔp/,unspecified
/kɔr/,unspecified
[kɔɾp],unspecified
/kurreˈ(d)ʒi/,unspecified
/kuɾˈtes/,unspecified
[kɔs],unspecified
/ˈkɔsto/,unspecified
[kuˈteu̯],Provençal
[kuˈtɛl],West Languedocien
[ˈkɔw],unspecified
/kɾukuˈðil/,unspecified
[krumˈpajɾo],unspecified
[krumˈpajɾe],unspecified
[krumˈpa],unspecified
/ˈkɾustɔ/,unspecified
/dalˈfi/,unspecified
/ˈdaʎo/,Languedoc
/daˈʎad͡ʒe/,unspecified
[daˈmatʒe],unspecified
/daˈnes/,unspecified
/davɑ̃/,Limousin
/daˈβan/,unspecified
/demˈpɥɛ/,Languedoc
/deskɾitˈtiw/,unspecified
[destɾyˈt͡sju],Lengadocian
[destɾyˈt͡siw],Lengadocian
[destʁyˈsjũᵑ],"Rodanenc Provençau, Niçard"
[destʁyˈsjẽᵑ],Maritim Provençau
/dezbuluˈpa/,unspecified
/ˈdet/,unspecified
/ˈdɛt͡s/,unspecified
/deˈβat/,Gascon
/dit͡sjuˈnaɾi/,unspecified
/dinniˈtat/,unspecified
[diˈ(d)ʒɔws],unspecified
[diˈlys],unspecified
[diˈmars],unspecified
/diˈmɛkres/,unspecified
[diˈmend͡ʒe],unspecified
/ˈdi.ɾe/,unspecified
[diˈsatte],unspecified
[disˈtansjo̞],Languedocian
[disˈtansi],Provençau
[dit],unspecified
[diˈβendres],unspecified
/duˈβɛɾt/,unspecified
/duˈβɾi/,unspecified
-i,unspecified
/ˈdutte/,unspecified
/duˈkymen/,unspecified
[duˈlu],unspecified
/ˈdus/,unspecified
/ˈdɔzi/,unspecified
/ˈdri.sɒ/,unspecified
/dyk/,unspecified
/dyɾˈβi/,unspecified
-i,unspecified
[ˈɛɣo],unspecified
/ejɾeˈta/,unspecified
[ejsyˈɣa],unspecified
/eˈdʒa/,unspecified
/elettuˈɾat/,unspecified
[eleˈfan(t)],unspecified
/eˈlis/,unspecified
/embuˈnil/,unspecified
/emˈbyt/,unspecified
/enˈsa/,Languedoc
/eŋ.kaˈʎa/,unspecified
/e.fanˈsɔ/,unspecified
/en.funˈsa/,unspecified
/eŋɡaˈd͡ʒa/,unspecified
[eˈraw],unspecified
[ˈɛrβo],unspecified
/ˈɛr.sɒ/,unspecified
[eˈryɣo],unspecified
[eˈryɣos],unspecified
/esˈkaðe/,unspecified
/esˈkajɾe/,unspecified
/eskaˈzenso/,unspecified
/esˈkaze/,unspecified
/esˈku.tɒ/,unspecified
/eskuˈta/,unspecified
/es.kuˈtiʎ.a/,unspecified
/esˈkyt/,unspecified
/es.ˈfɛ.rɐ/,unspecified
/esluˈβak/,unspecified
/esˈpasi/,unspecified
/espaˈɲɔl/,unspecified
[esˈpallo],unspecified
/espesjaloˈmen/,unspecified
/es.kiˈɾɔl/,unspecified
-ɔl,unspecified
/esˈtan/,unspecified
/esˈtant/,unspecified
/estaˈtyt/,unspecified
/esˈtɛβe/,unspecified
/esˈtiw/,unspecified
/ejˈtujo/,unspecified
[esturˈnɛl],unspecified
/estyˈaɾi/,unspecified
/edˈzili/,unspecified
/edzisˈti/,unspecified
[et͡syˈða],unspecified
[falˈku],West Languedocien
[fɔu̯ˈkũŋ],Provençal
/faˈʎi/,unspecified
/fals/,unspecified
[faˈmiʎo],unspecified
/fa/,unspecified
/ˈfarɣo/,unspecified
/faws/,unspecified
/ˈfawɾe/,unspecified
/ˈfɛβɾe/,unspecified
[felisitaˈsju],Languedocian
[felisitaˈsjun],Provençau
[felisiˈtat],unspecified
[ˈfenno],unspecified
/ˈfendɾe/,unspecified
[feˈnɛstro],unspecified
/fe.neˈstre.tɒ/,unspecified
[fɛr],unspecified
/feˈɾiðɔ/,unspecified
[ˈfɛrre],unspecified
[ˈfjaʷ],Limousin
[ˈfjɑʷ],Auvergnat
[ˈhiu̯],Gascon
[ˈfiu̯],East Languedocien
[ˈfil],West Languedocien
/ˈfi.ʎo/,unspecified
/filˈma/,unspecified
[ˈfiw],unspecified
/flu/,unspecified
/furˈmadʒe/,unspecified
[furˈmiɣo],unspecified
/fuɾn/,unspecified
/fɔɾt/,unspecified
/ˈfɾa.ɣɔ/,unspecified
[ˈfrajre],unspecified
[ˈfrajs],unspecified
[ˈfrajse],unspecified
/ˈfɾanso/,unspecified
[ˈfremo],unspecified
/ˈfɥɛ.ʎo/,unspecified
/ˈfysto/,unspecified
/ˌɡaˈbar.ra/,unspecified
/ɡajreˈβe/,unspecified
[ˈdʒal],East Vivaro-Alpine
[ˈɡau̯],Provençal
[ˈɡal],East Languedocien
[ˈɡal],West Languedocien
[ɡaˈlino],unspecified
/ˈɡaɾβo/,Languedoc
[ˈɡar],unspecified
/ɡaʁdjɑ̃/,unspecified
[ɡarˈɡanto],unspecified
[ɡaˈri],unspecified
[ɡasˈkuɲo],unspecified
[ɡat],unspecified
/ˈɡawto/,unspecified
